timestamp_ns,Palm_pos_x,Palm_pos_y,Palm_pos_z,Palm_rot_qx,Palm_rot_qy,Palm_rot_qz,Palm_rot_qw,Palm_confidence,Wrist_pos_x,Wrist_pos_y,Wrist_pos_z,Wrist_rot_qx,Wrist_rot_qy,Wrist_rot_qz,Wrist_rot_qw,Wrist_confidence,ThumbMetacarpal_pos_x,ThumbMetacarpal_pos_y,ThumbMetacarpal_pos_z,ThumbMetacarpal_rot_qx,ThumbMetacarpal_rot_qy,ThumbMetacarpal_rot_qz,ThumbMetacarpal_rot_qw,ThumbMetacarpal_confidence,ThumbProximal_pos_x,ThumbProximal_pos_y,ThumbProximal_pos_z,ThumbProximal_rot_qx,ThumbProximal_rot_qy,ThumbProximal_rot_qz,ThumbProximal_rot_qw,ThumbProximal_confidence,ThumbDistal_pos_x,ThumbDistal_pos_y,ThumbDistal_pos_z,ThumbDistal_rot_qx,ThumbDistal_rot_qy,ThumbDistal_rot_qz,ThumbDistal_rot_qw,ThumbDistal_confidence,ThumbTip_pos_x,ThumbTip_pos_y,ThumbTip_pos_z,ThumbTip_rot_qx,ThumbTip_rot_qy,ThumbTip_rot_qz,ThumbTip_rot_qw,ThumbTip_confidence,IndexMetacarpal_pos_x,IndexMetacarpal_pos_y,IndexMetacarpal_pos_z,IndexMetacarpal_rot_qx,IndexMetacarpal_rot_qy,IndexMetacarpal_rot_qz,IndexMetacarpal_rot_qw,IndexMetacarpal_confidence,IndexProximal_pos_x,IndexProximal_pos_y,IndexProximal_pos_z,IndexProximal_rot_qx,IndexProximal_rot_qy,IndexProximal_rot_qz,IndexProximal_rot_qw,IndexProximal_confidence,IndexIntermediate_pos_x,IndexIntermediate_pos_y,IndexIntermediate_pos_z,IndexIntermediate_rot_qx,IndexIntermediate_rot_qy,IndexIntermediate_rot_qz,IndexIntermediate_rot_qw,IndexIntermediate_confidence,IndexDistal_pos_x,IndexDistal_pos_y,IndexDistal_pos_z,IndexDistal_rot_qx,IndexDistal_rot_qy,IndexDistal_rot_qz,IndexDistal_rot_qw,IndexDistal_confidence,IndexTip_pos_x,IndexTip_pos_y,IndexTip_pos_z,IndexTip_rot_qx,IndexTip_rot_qy,IndexTip_rot_qz,IndexTip_rot_qw,IndexTip_confidence,MiddleMetacarpal_pos_x,MiddleMetacarpal_pos_y,MiddleMetacarpal_pos_z,MiddleMetacarpal_rot_qx,MiddleMetacarpal_rot_qy,MiddleMetacarpal_rot_qz,MiddleMetacarpal_rot_qw,MiddleMetacarpal_confidence,MiddleProximal_pos_x,MiddleProximal_pos_y,MiddleProximal_pos_z,MiddleProximal_rot_qx,MiddleProximal_rot_qy,MiddleProximal_rot_qz,MiddleProximal_rot_qw,MiddleProximal_confidence,MiddleIntermediate_pos_x,MiddleIntermediate_pos_y,MiddleIntermediate_pos_z,MiddleIntermediate_rot_qx,MiddleIntermediate_rot_qy,MiddleIntermediate_rot_qz,MiddleIntermediate_rot_qw,MiddleIntermediate_confidence,MiddleDistal_pos_x,MiddleDistal_pos_y,MiddleDistal_pos_z,MiddleDistal_rot_qx,MiddleDistal_rot_qy,MiddleDistal_rot_qz,MiddleDistal_rot_qw,MiddleDistal_confidence,MiddleTip_pos_x,MiddleTip_pos_y,MiddleTip_pos_z,MiddleTip_rot_qx,MiddleTip_rot_qy,MiddleTip_rot_qz,MiddleTip_rot_qw,MiddleTip_confidence,RingMetacarpal_pos_x,RingMetacarpal_pos_y,RingMetacarpal_pos_z,RingMetacarpal_rot_qx,RingMetacarpal_rot_qy,RingMetacarpal_rot_qz,RingMetacarpal_rot_qw,RingMetacarpal_confidence,RingProximal_pos_x,RingProximal_pos_y,RingProximal_pos_z,RingProximal_rot_qx,RingProximal_rot_qy,RingProximal_rot_qz,RingProximal_rot_qw,RingProximal_confidence,RingIntermediate_pos_x,RingIntermediate_pos_y,RingIntermediate_pos_z,RingIntermediate_rot_qx,RingIntermediate_rot_qy,RingIntermediate_rot_qz,RingIntermediate_rot_qw,RingIntermediate_confidence,RingDistal_pos_x,RingDistal_pos_y,RingDistal_pos_z,RingDistal_rot_qx,RingDistal_rot_qy,RingDistal_rot_qz,RingDistal_rot_qw,RingDistal_confidence,RingTip_pos_x,RingTip_pos_y,RingTip_pos_z,RingTip_rot_qx,RingTip_rot_qy,RingTip_rot_qz,RingTip_rot_qw,RingTip_confidence,LittleMetacarpal_pos_x,LittleMetacarpal_pos_y,LittleMetacarpal_pos_z,LittleMetacarpal_rot_qx,LittleMetacarpal_rot_qy,LittleMetacarpal_rot_qz,LittleMetacarpal_rot_qw,LittleMetacarpal_confidence,LittleProximal_pos_x,LittleProximal_pos_y,LittleProximal_pos_z,LittleProximal_rot_qx,LittleProximal_rot_qy,LittleProximal_rot_qz,LittleProximal_rot_qw,LittleProximal_confidence,LittleIntermediate_pos_x,LittleIntermediate_pos_y,LittleIntermediate_pos_z,LittleIntermediate_rot_qx,LittleIntermediate_rot_qy,LittleIntermediate_rot_qz,LittleIntermediate_rot_qw,LittleIntermediate_confidence,LittleDistal_pos_x,LittleDistal_pos_y,LittleDistal_pos_z,LittleDistal_rot_qx,LittleDistal_rot_qy,LittleDistal_rot_qz,LittleDistal_rot_qw,LittleDistal_confidence,LittleTip_pos_x,LittleTip_pos_y,LittleTip_pos_z,LittleTip_rot_qx,LittleTip_rot_qy,LittleTip_rot_qz,LittleTip_rot_qw,LittleTip_confidence
45343732900,0.533368,-0.426326,0.021705,-0.157862,-0.251870,-0.015818,-0.954668,2,0.502440,-0.401215,-0.030929,-0.157862,-0.251870,-0.015818,-0.954668,2,0.499793,-0.437291,0.003770,-0.348293,0.238216,-0.622074,-0.659522,2,0.503660,-0.461829,0.024675,-0.389817,0.106017,-0.605604,-0.685600,2,0.514687,-0.484200,0.047406,-0.479905,0.108292,-0.645038,-0.584713,2,0.525997,-0.501276,0.061007,-0.479905,0.108292,-0.645038,-0.584713,2,0.506256,-0.426783,0.003991,-0.157862,-0.251870,-0.015818,-0.954668,2,0.528136,-0.438863,0.056923,-0.255694,-0.270910,-0.025286,-0.927679,2,0.547663,-0.456312,0.084285,-0.444165,-0.277864,0.058359,-0.849767,2,0.557865,-0.475419,0.095231,-0.490797,-0.302420,0.077943,-0.813379,2,0.567814,-0.493733,0.103320,-0.490797,-0.302420,0.077943,-0.813379,2,0.519516,-0.420808,-0.004329,-0.157862,-0.251870,-0.015818,-0.954668,2,0.547220,-0.431843,0.047738,-0.434056,-0.295729,0.073840,-0.847754,2,0.565965,-0.465262,0.066954,-0.656696,-0.268039,0.166394,-0.684995,2,0.570055,-0.492466,0.066784,-0.714536,-0.279574,0.236081,-0.596274,2,0.570955,-0.517114,0.062971,-0.714536,-0.279574,0.236081,-0.596274,2,0.532081,-0.415467,-0.011323,-0.157862,-0.251870,-0.015818,-0.954668,2,0.560373,-0.431483,0.031670,-0.433660,-0.320674,0.124062,-0.832896,2,0.576984,-0.462712,0.047956,-0.664242,-0.274147,0.257075,-0.646172,2,0.577323,-0.489231,0.047087,-0.762340,-0.210450,0.332298,-0.513932,2,0.571511,-0.512283,0.041840,-0.762340,-0.210450,0.332298,-0.513932,2,0.538550,-0.417613,-0.016756,-0.115932,-0.410774,0.164796,-0.889194,2,0.570107,-0.433183,0.012222,-0.381862,-0.399849,0.199716,-0.808959,2,0.585274,-0.457036,0.024143,-0.657681,-0.325229,0.396386,-0.551870,2,0.581979,-0.476988,0.022589,-0.730171,-0.217173,0.480847,-0.434134,2,0.571518,-0.496056,0.019808,-0.730171,-0.217173,0.480847,-0.434134,2
45396246400,0.567187,-0.421661,0.066523,0.013667,-0.191941,0.030976,-0.980822,2,0.543739,-0.416775,0.005137,0.013667,-0.191941,0.030976,-0.980822,2,0.534680,-0.437560,0.049739,-0.180836,0.189081,-0.653665,-0.710118,2,0.533638,-0.453913,0.077742,-0.301748,0.000103,-0.626486,-0.718654,2,0.546382,-0.468543,0.105323,-0.333398,0.072996,-0.664062,-0.665237,2,0.553981,-0.481355,0.124862,-0.333398,0.072996,-0.664062,-0.665237,2,0.542014,-0.428028,0.047000,0.013667,-0.191941,0.030976,-0.980822,2,0.557759,-0.421079,0.102948,-0.168411,-0.177064,0.029609,-0.969231,2,0.570372,-0.433831,0.136276,-0.396900,-0.169317,0.097636,-0.896811,2,0.575858,-0.451898,0.151497,-0.475267,-0.188384,0.117803,-0.851326,2,0.581171,-0.470421,0.162802,-0.475267,-0.188384,0.117803,-0.851326,2,0.556351,-0.425553,0.038787,0.013667,-0.191941,0.030976,-0.980822,2,0.578024,-0.417769,0.094259,-0.188795,-0.254848,0.091318,-0.943965,2,0.597158,-0.435031,0.128478,-0.490549,-0.212309,0.183291,-0.825040,2,0.601845,-0.459424,0.140260,-0.598350,-0.204357,0.264887,-0.728046,2,0.602315,-0.483707,0.145930,-0.598350,-0.204357,0.264887,-0.728046,2,0.570331,-0.423234,0.031881,0.013667,-0.191941,0.030976,-0.980822,2,0.592888,-0.423106,0.080794,-0.187480,-0.272415,0.140197,-0.933266,2,0.610629,-0.439695,0.111197,-0.494859,-0.203476,0.267136,-0.801467,2,0.612267,-0.463613,0.122531,-0.575114,-0.151928,0.311778,-0.740916,2,0.610244,-0.486443,0.130693,-0.575114,-0.151928,0.311778,-0.740916,2,0.577264,-0.427161,0.028362,0.030661,-0.320062,0.238484,-0.916376,2,0.604650,-0.431555,0.064500,-0.131819,-0.337534,0.207227,-0.908709,2,0.621781,-0.443188,0.087105,-0.298741,-0.326597,0.316070,-0.839159,2,0.629063,-0.457535,0.099432,-0.307652,-0.275304,0.339128,-0.845311,2,0.635429,-0.472194,0.114421,-0.307652,-0.275304,0.339128,-0.845311,2
45435322200,0.504201,-0.323778,0.068532,0.164818,-0.073759,0.025465,-0.983232,2,0.496287,-0.339794,0.004823,0.164818,-0.073759,0.025465,-0.983232,2,0.473680,-0.344552,0.049081,0.083068,0.205191,-0.663818,-0.714382,2,0.460455,-0.349591,0.078648,-0.078647,0.009076,-0.628752,-0.773565,2,0.463346,-0.354126,0.112292,-0.123115,0.054759,-0.684379,-0.716568,2,0.464588,-0.359671,0.136457,-0.123115,0.054759,-0.684379,-0.716568,2,0.483225,-0.337012,0.046179,0.164818,-0.073759,0.025465,-0.983232,2,0.487492,-0.313989,0.100960,-0.016592,-0.084869,0.007236,-0.996228,2,0.493949,-0.315300,0.138628,-0.312782,-0.078292,0.058503,-0.944783,2,0.496677,-0.330006,0.158036,-0.460658,-0.094919,0.079195,-0.878927,2,0.499317,-0.348037,0.171358,-0.460658,-0.094919,0.079195,-0.878927,2,0.499104,-0.336362,0.041018,0.164818,-0.073759,0.025465,-0.983232,2,0.509298,-0.311194,0.096046,-0.084702,-0.127671,0.075601,-0.985297,2,0.519633,-0.319253,0.137294,-0.365148,-0.102228,0.121722,-0.917279,2,0.522373,-0.338551,0.157083,-0.473995,-0.101175,0.186935,-0.854487,2,0.523024,-0.359411,0.171204,-0.473995,-0.101175,0.186935,-0.854487,2,0.516442,-0.335415,0.037521,0.164818,-0.073759,0.025465,-0.983232,2,0.527232,-0.318674,0.088167,-0.092915,-0.138690,0.128511,-0.977557,2,0.536954,-0.327218,0.125292,-0.289315,-0.108198,0.192121,-0.931493,2,0.539376,-0.342772,0.146972,-0.413571,-0.054954,0.224796,-0.880571,2,0.538138,-0.360430,0.164027,-0.413571,-0.054954,0.224796,-0.880571,2,0.524218,-0.339483,0.036882,0.153243,-0.174801,0.252697,-0.939204,2,0.542893,-0.330300,0.077934,-0.055827,-0.193244,0.220760,-0.954361,2,0.553554,-0.336243,0.106401,-0.325296,-0.151580,0.325016,-0.874969,2,0.554656,-0.349918,0.121604,-0.410945,-0.068679,0.355202,-0.836803,2,0.551359,-0.365561,0.136918,-0.410945,-0.068679,0.355202,-0.836803,2
45479215700,0.495958,-0.307667,0.082975,0.252808,-0.029517,0.024772,-0.966749,2,0.493424,-0.335688,0.021252,0.252808,-0.029517,0.024772,-0.966749,2,0.467324,-0.333651,0.065332,0.133751,0.188443,-0.701313,-0.674359,2,0.452495,-0.336468,0.095316,-0.016996,-0.010339,-0.661708,-0.749498,2,0.453820,-0.336879,0.130179,-0.064595,0.029111,-0.718666,-0.691737,2,0.454073,-0.339569,0.155456,-0.064595,0.029111,-0.718666,-0.691737,2,0.476855,-0.326019,0.061504,0.252808,-0.029517,0.024772,-0.966749,2,0.475830,-0.292438,0.112310,0.072934,-0.038882,-0.001919,-0.996577,2,0.478853,-0.286739,0.150934,-0.223449,-0.035046,0.035712,-0.973431,2,0.480165,-0.297718,0.173460,-0.356001,-0.056434,0.051466,-0.931359,2,0.482192,-0.312396,0.191202,-0.356001,-0.056434,0.051466,-0.931359,2,0.493483,-0.325597,0.057373,0.252808,-0.029517,0.024772,-0.966749,2,0.498434,-0.289737,0.108576,-0.009111,-0.080954,0.070389,-0.994187,2,0.505511,-0.291045,0.152309,-0.232319,-0.064788,0.099151,-0.965401,2,0.507759,-0.304169,0.177444,-0.302680,-0.065939,0.153744,-0.938296,2,0.509236,-0.318508,0.198847,-0.302680,-0.065939,0.153744,-0.938296,2,0.511151,-0.324572,0.054860,0.252808,-0.029517,0.024772,-0.966749,2,0.517554,-0.298064,0.103463,-0.075636,-0.080692,0.128619,-0.985508,2,0.523174,-0.304903,0.142740,-0.322721,-0.042097,0.183681,-0.927545,2,0.522064,-0.321752,0.164365,-0.451130,0.009524,0.208129,-0.867798,2,0.517761,-0.340576,0.180514,-0.451130,0.009524,0.208129,-0.867798,2,0.519227,-0.328506,0.055584,0.229660,-0.111456,0.260152,-0.931211,2,0.534640,-0.311079,0.096575,-0.001884,-0.133181,0.228153,-0.964472,2,0.542761,-0.313121,0.127168,-0.266096,-0.093969,0.314654,-0.906287,2,0.542821,-0.324476,0.144799,-0.344786,-0.015554,0.334447,-0.876941,2,0.538771,-0.337576,0.162852,-0.344786,-0.015554,0.334447,-0.876941,2
45528354600,0.448063,-0.252315,0.093700,0.313503,-0.007361,0.032347,-0.949007,2,0.448270,-0.288637,0.035191,0.313503,-0.007361,0.032347,-0.949007,2,0.419024,-0.280342,0.077273,0.213358,0.169688,-0.696545,-0.663709,2,0.401189,-0.278744,0.106337,0.073313,-0.012047,-0.649147,-0.757026,2,0.398459,-0.274250,0.141426,0.023659,0.018434,-0.712026,-0.701512,2,0.395834,-0.273384,0.167129,0.023659,0.018434,-0.712026,-0.701512,2,0.429316,-0.273409,0.073309,0.313503,-0.007361,0.032347,-0.949007,2,0.426614,-0.233234,0.120578,0.108475,-0.028525,0.007628,-0.993661,2,0.428937,-0.224667,0.159398,-0.171273,-0.022157,0.041316,-0.984108,2,0.429689,-0.233316,0.183393,-0.294073,-0.043064,0.056353,-0.953148,2,0.431288,-0.245735,0.203288,-0.294073,-0.043064,0.056353,-0.953148,2,0.446376,-0.273681,0.069957,0.313503,-0.007361,0.032347,-0.949007,2,0.449750,-0.230949,0.117443,-0.004820,-0.052985,0.079918,-0.995381,2,0.454470,-0.231763,0.162259,-0.245257,-0.033600,0.102767,-0.963410,2,0.454884,-0.245632,0.187640,-0.299298,-0.037613,0.152438,-0.941153,2,0.455026,-0.259861,0.209688,-0.299298,-0.037613,0.152438,-0.941153,2,0.464869,-0.273029,0.068383,0.313503,-0.007361,0.032347,-0.949007,2,0.469368,-0.239973,0.114198,0.006905,-0.065254,0.138228,-0.988224,2,0.474727,-0.240153,0.154790,-0.248834,-0.020616,0.188822,-0.949738,2,0.473198,-0.253558,0.179212,-0.359856,0.028754,0.207165,-0.909263,2,0.468902,-0.268969,0.199195,-0.359856,0.028754,0.207165,-0.909263,2,0.473028,-0.276886,0.069972,0.283091,-0.074814,0.271925,-0.916689,2,0.486980,-0.253959,0.109685,0.086290,-0.107014,0.232272,-0.962887,2,0.494920,-0.250202,0.140721,-0.178432,-0.063731,0.313450,-0.930510,2,0.495064,-0.258136,0.160516,-0.257243,0.014382,0.325661,-0.909706,2,0.491148,-0.267701,0.181124,-0.257243,0.014382,0.325661,-0.909706,2
45571861200,0.427258,-0.233534,0.104884,0.315879,0.036329,0.038836,-0.947308,2,0.433240,-0.270835,0.046227,0.315879,0.036329,0.038836,-0.947308,2,0.399556,-0.262292,0.085611,0.257820,0.199271,-0.684699,-0.651926,2,0.378343,-0.260102,0.112872,0.122010,0.028640,-0.642694,-0.755803,2,0.371144,-0.254792,0.147716,0.079232,0.058318,-0.708929,-0.698384,2,0.364990,-0.253365,0.173154,0.079232,0.058318,-0.708929,-0.698384,2,0.410356,-0.255263,0.082684,0.315879,0.036329,0.038836,-0.947308,2,0.403033,-0.214330,0.130055,0.110762,0.020146,0.002496,-0.993640,2,0.401438,-0.205438,0.169407,-0.169757,0.023198,0.022874,-0.984947,2,0.400055,-0.214063,0.193760,-0.292272,-0.000428,0.032433,-0.955785,2,0.400005,-0.226481,0.214103,-0.292272,-0.000428,0.032433,-0.955785,2,0.427874,-0.255390,0.080868,0.315879,0.036329,0.038836,-0.947308,2,0.426642,-0.211678,0.128901,0.016106,-0.010950,0.072356,-0.997189,2,0.427746,-0.210282,0.174564,-0.237842,0.006650,0.085252,-0.967533,2,0.426179,-0.223747,0.200571,-0.311331,0.003757,0.134418,-0.940740,2,0.424387,-0.238439,0.222680,-0.311331,0.003757,0.134418,-0.940740,2,0.446852,-0.254490,0.081067,0.315879,0.036329,0.038836,-0.947308,2,0.446874,-0.220546,0.127431,0.013432,-0.022361,0.130944,-0.991047,2,0.448860,-0.219684,0.168887,-0.254120,0.020689,0.170646,-0.951775,2,0.445293,-0.233168,0.193498,-0.366551,0.067481,0.184148,-0.909492,2,0.439360,-0.248761,0.213380,-0.366551,0.067481,0.184148,-0.909492,2,0.455010,-0.258261,0.083425,0.275465,-0.031670,0.277388,-0.919876,2,0.465266,-0.234486,0.124549,0.168679,-0.104733,0.224450,-0.954044,2,0.474277,-0.225498,0.154674,-0.100028,-0.057331,0.307617,-0.944500,2,0.475288,-0.230346,0.175722,-0.163709,0.015037,0.314906,-0.934777,2,0.472772,-0.236143,0.198226,-0.163709,0.015037,0.314906,-0.934777,2
45615816300,0.393729,-0.213265,0.108025,0.308531,0.064979,0.048025,-0.947776,2,0.403589,-0.250210,0.049034,0.308531,0.064979,0.048025,-0.947776,2,0.366568,-0.241475,0.085541,0.295974,0.236996,-0.660104,-0.648456,2,0.342174,-0.238995,0.110437,0.159634,0.077508,-0.624964,-0.760217,2,0.330647,-0.233698,0.144469,0.128893,0.111183,-0.693799,-0.699763,2,0.320777,-0.232283,0.168980,0.128893,0.111183,-0.693799,-0.699763,2,0.377946,-0.234654,0.083956,0.308531,0.064979,0.048025,-0.947776,2,0.367927,-0.194268,0.132374,0.114305,0.050981,0.005823,-0.992120,2,0.363858,-0.184999,0.171859,-0.166626,0.053825,0.017483,-0.984395,2,0.360938,-0.193519,0.196378,-0.289061,0.029326,0.023349,-0.956577,2,0.359612,-0.205881,0.216979,-0.289061,0.029326,0.023349,-0.956577,2,0.395673,-0.234974,0.083360,0.308531,0.064979,0.048025,-0.947776,2,0.391785,-0.191555,0.132689,0.016750,0.018321,0.072238,-0.997078,2,0.390211,-0.189892,0.178768,-0.238389,0.035002,0.077669,-0.967426,2,0.387109,-0.203388,0.204939,-0.316490,0.031691,0.124884,-0.939805,2,0.383973,-0.218282,0.227071,-0.316490,0.031691,0.124884,-0.939805,2,0.415148,-0.234144,0.085180,0.308531,0.064979,0.048025,-0.947776,2,0.412278,-0.200472,0.132333,0.033080,0.002917,0.130937,-0.990834,2,0.412399,-0.197692,0.174151,-0.236233,0.045777,0.163653,-0.956721,2,0.407689,-0.210174,0.199404,-0.350575,0.091922,0.173572,-0.915708,2,0.400800,-0.225032,0.219858,-0.350575,0.091922,0.173572,-0.915708,2,0.423231,-0.237974,0.088008,0.261123,-0.005355,0.284824,-0.922313,2,0.431011,-0.214490,0.130377,0.139001,-0.071351,0.229819,-0.960610,2,0.437647,-0.206756,0.161782,-0.132825,-0.025753,0.303150,-0.943289,2,0.436949,-0.212567,0.182812,-0.177516,0.039966,0.309428,-0.933352,2,0.433126,-0.218661,0.205288,-0.177516,0.039966,0.309428,-0.933352,2
45660155100,0.357134,-0.204684,0.116184,0.285737,0.149427,0.026144,-0.946225,2,0.379325,-0.238502,0.058121,0.285737,0.149427,0.026144,-0.946225,2,0.336247,-0.234492,0.088759,0.329461,0.310436,-0.657216,-0.602621,2,0.307840,-0.234878,0.109528,0.208361,0.165768,-0.636638,-0.723739,2,0.289360,-0.231567,0.140919,0.188773,0.197823,-0.704153,-0.655286,2,0.274390,-0.231743,0.162965,0.188773,0.197823,-0.704153,-0.655286,2,0.347143,-0.226604,0.089226,0.285737,0.149427,0.026144,-0.946225,2,0.326110,-0.189036,0.137049,0.182370,0.139275,-0.020698,-0.973096,2,0.314673,-0.174702,0.173777,-0.097676,0.133077,-0.032900,-0.985732,2,0.307941,-0.179998,0.198649,-0.221292,0.102786,-0.034857,-0.969149,2,0.303679,-0.189549,0.220509,-0.221292,0.102786,-0.034857,-0.969149,2,0.364825,-0.225290,0.091340,0.285737,0.149427,0.026144,-0.946225,2,0.349444,-0.184079,0.141029,0.099703,0.090231,0.034989,-0.990300,2,0.341464,-0.174610,0.185811,-0.155214,0.096028,0.023544,-0.982920,2,0.335617,-0.183574,0.213644,-0.238028,0.092404,0.066659,-0.964552,2,0.330373,-0.194626,0.237771,-0.238028,0.092404,0.066659,-0.964552,2,0.383846,-0.222710,0.096235,0.285737,0.149427,0.026144,-0.946225,2,0.370693,-0.191065,0.143552,0.062697,0.074543,0.088244,-0.991325,2,0.364922,-0.185263,0.184959,-0.192706,0.102374,0.104539,-0.970286,2,0.358050,-0.195403,0.210982,-0.302662,0.140662,0.107320,-0.936532,2,0.349865,-0.208233,0.232541,-0.302662,0.140662,0.107320,-0.936532,2,0.391820,-0.225894,0.100177,0.224673,0.071492,0.258576,-0.936776,2,0.390940,-0.203268,0.144094,0.096474,0.012947,0.190210,-0.976906,2,0.391319,-0.196837,0.176715,-0.181123,0.040901,0.241743,-0.952409,2,0.387681,-0.203987,0.197183,-0.226578,0.102341,0.246507,-0.936709,2,0.380799,-0.211705,0.218582,-0.226578,0.102341,0.246507,-0.936709,2
45703168600,0.331408,-0.195543,0.124844,0.301177,0.186922,-0.009744,-0.935017,2,0.359553,-0.230134,0.069400,0.301177,0.186922,-0.009744,-0.935017,2,0.314660,-0.228629,0.098278,0.339681,0.317573,-0.688038,-0.557108,2,0.285625,-0.230699,0.118343,0.234781,0.176116,-0.669265,-0.682602,2,0.265242,-0.227583,0.148759,0.215851,0.206376,-0.734160,-0.609776,2,0.249018,-0.228120,0.170049,0.215851,0.206376,-0.734160,-0.609776,2,0.324774,-0.219672,0.098612,0.301177,0.186922,-0.009744,-0.935017,2,0.297887,-0.181584,0.143262,0.185575,0.178888,-0.066422,-0.963924,2,0.282647,-0.167809,0.179024,-0.093397,0.158536,-0.088070,-0.978972,2,0.274879,-0.173380,0.203662,-0.215118,0.121406,-0.092730,-0.964565,2,0.270202,-0.182986,0.225538,-0.215118,0.121406,-0.092730,-0.964565,2,0.342235,-0.216643,0.101497,0.301177,0.186922,-0.009744,-0.935017,2,0.320581,-0.174444,0.148192,0.059572,0.126716,-0.017224,-0.989999,2,0.308774,-0.169142,0.193040,-0.196660,0.117528,-0.036529,-0.972717,2,0.302355,-0.180861,0.219852,-0.280069,0.106834,0.004731,-0.954005,2,0.297014,-0.194320,0.242850,-0.280069,0.106834,0.004731,-0.954005,2,0.360656,-0.212195,0.107023,0.301177,0.186922,-0.009744,-0.935017,2,0.342265,-0.179492,0.152160,0.042929,0.115306,0.037306,-0.991701,2,0.332703,-0.175517,0.193281,-0.225040,0.128581,0.043866,-0.964832,2,0.324964,-0.187739,0.218294,-0.338829,0.159147,0.044684,-0.926213,2,0.316585,-0.202679,0.238529,-0.338829,0.159147,0.044684,-0.926213,2,0.368674,-0.214512,0.111542,0.237098,0.111902,0.222995,-0.938901,2,0.363489,-0.189934,0.154357,0.113025,0.049324,0.150467,-0.980894,2,0.361393,-0.182031,0.186746,-0.168501,0.066049,0.194380,-0.964086,2,0.357134,-0.188640,0.207386,-0.224033,0.126471,0.196522,-0.946147,2,0.349508,-0.196359,0.228654,-0.224033,0.126471,0.196522,-0.946147,2
45746661700,0.301097,-0.180279,0.124184,0.283572,0.142340,0.007096,-0.948302,2,0.322964,-0.213471,0.065324,0.283572,0.142340,0.007096,-0.948302,2,0.280567,-0.211029,0.097488,0.310307,0.304516,-0.676128,-0.594837,2,0.252966,-0.212534,0.119443,0.290594,0.248404,-0.619895,-0.685260,2,0.227257,-0.209221,0.145409,0.315849,0.310349,-0.674085,-0.591213,2,0.205347,-0.209818,0.160712,0.315849,0.310349,-0.674085,-0.591213,2,0.291166,-0.202674,0.097504,0.283572,0.142340,0.007096,-0.948302,2,0.269967,-0.165591,0.145815,0.254880,0.167372,-0.035612,-0.951711,2,0.256101,-0.146104,0.179336,-0.027073,0.157601,-0.056263,-0.985527,2,0.247984,-0.147980,0.204373,-0.153354,0.125264,-0.059747,-0.978377,2,0.242614,-0.154552,0.227152,-0.153354,0.125264,-0.059747,-0.978377,2,0.308905,-0.200705,0.099140,0.283572,0.142340,0.007096,-0.948302,2,0.293289,-0.159853,0.149227,0.120715,0.090298,0.014568,-0.988465,2,0.285133,-0.148608,0.193715,-0.143617,0.091222,0.002945,-0.985416,2,0.279731,-0.157058,0.221895,-0.227772,0.086605,0.046642,-0.968733,2,0.274998,-0.167743,0.246385,-0.227772,0.086605,0.046642,-0.968733,2,0.327924,-0.197474,0.103438,0.283572,0.142340,0.007096,-0.948302,2,0.314879,-0.166158,0.151226,0.113101,0.071936,0.069630,-0.988527,2,0.309524,-0.156267,0.192043,-0.156331,0.098185,0.085808,-0.979059,2,0.303204,-0.164612,0.218928,-0.273192,0.135300,0.087894,-0.948333,2,0.295585,-0.176278,0.241435,-0.273192,0.135300,0.087894,-0.948333,2,0.336118,-0.200401,0.107191,0.226679,0.063543,0.240392,-0.941696,2,0.335585,-0.177727,0.151261,0.266871,-0.027020,0.162440,-0.949560,2,0.340189,-0.161115,0.179815,-0.008240,0.006552,0.229541,-0.973242,2,0.339824,-0.161403,0.201863,-0.060227,0.069165,0.227832,-0.969372,2,0.336314,-0.162138,0.225432,-0.060227,0.069165,0.227832,-0.969372,2
