timestamp_ns,Palm_pos_x,Palm_pos_y,Palm_pos_z,Palm_rot_qx,Palm_rot_qy,Palm_rot_qz,Palm_rot_qw,Palm_confidence,Wrist_pos_x,Wrist_pos_y,Wrist_pos_z,Wrist_rot_qx,Wrist_rot_qy,Wrist_rot_qz,Wrist_rot_qw,Wrist_confidence,ThumbMetacarpal_pos_x,ThumbMetacarpal_pos_y,ThumbMetacarpal_pos_z,ThumbMetacarpal_rot_qx,ThumbMetacarpal_rot_qy,ThumbMetacarpal_rot_qz,ThumbMetacarpal_rot_qw,ThumbMetacarpal_confidence,ThumbProximal_pos_x,ThumbProximal_pos_y,ThumbProximal_pos_z,ThumbProximal_rot_qx,ThumbProximal_rot_qy,ThumbProximal_rot_qz,ThumbProximal_rot_qw,ThumbProximal_confidence,ThumbDistal_pos_x,ThumbDistal_pos_y,ThumbDistal_pos_z,ThumbDistal_rot_qx,ThumbDistal_rot_qy,ThumbDistal_rot_qz,ThumbDistal_rot_qw,ThumbDistal_confidence,ThumbTip_pos_x,ThumbTip_pos_y,ThumbTip_pos_z,ThumbTip_rot_qx,ThumbTip_rot_qy,ThumbTip_rot_qz,ThumbTip_rot_qw,ThumbTip_confidence,IndexMetacarpal_pos_x,IndexMetacarpal_pos_y,IndexMetacarpal_pos_z,IndexMetacarpal_rot_qx,IndexMetacarpal_rot_qy,IndexMetacarpal_rot_qz,IndexMetacarpal_rot_qw,IndexMetacarpal_confidence,IndexProximal_pos_x,IndexProximal_pos_y,IndexProximal_pos_z,IndexProximal_rot_qx,IndexProximal_rot_qy,IndexProximal_rot_qz,IndexProximal_rot_qw,IndexProximal_confidence,IndexIntermediate_pos_x,IndexIntermediate_pos_y,IndexIntermediate_pos_z,IndexIntermediate_rot_qx,IndexIntermediate_rot_qy,IndexIntermediate_rot_qz,IndexIntermediate_rot_qw,IndexIntermediate_confidence,IndexDistal_pos_x,IndexDistal_pos_y,IndexDistal_pos_z,IndexDistal_rot_qx,IndexDistal_rot_qy,IndexDistal_rot_qz,IndexDistal_rot_qw,IndexDistal_confidence,IndexTip_pos_x,IndexTip_pos_y,IndexTip_pos_z,IndexTip_rot_qx,IndexTip_rot_qy,IndexTip_rot_qz,IndexTip_rot_qw,IndexTip_confidence,MiddleMetacarpal_pos_x,MiddleMetacarpal_pos_y,MiddleMetacarpal_pos_z,MiddleMetacarpal_rot_qx,MiddleMetacarpal_rot_qy,MiddleMetacarpal_rot_qz,MiddleMetacarpal_rot_qw,MiddleMetacarpal_confidence,MiddleProximal_pos_x,MiddleProximal_pos_y,MiddleProximal_pos_z,MiddleProximal_rot_qx,MiddleProximal_rot_qy,MiddleProximal_rot_qz,MiddleProximal_rot_qw,MiddleProximal_confidence,MiddleIntermediate_pos_x,MiddleIntermediate_pos_y,MiddleIntermediate_pos_z,MiddleIntermediate_rot_qx,MiddleIntermediate_rot_qy,MiddleIntermediate_rot_qz,MiddleIntermediate_rot_qw,MiddleIntermediate_confidence,MiddleDistal_pos_x,MiddleDistal_pos_y,MiddleDistal_pos_z,MiddleDistal_rot_qx,MiddleDistal_rot_qy,MiddleDistal_rot_qz,MiddleDistal_rot_qw,MiddleDistal_confidence,MiddleTip_pos_x,MiddleTip_pos_y,MiddleTip_pos_z,MiddleTip_rot_qx,MiddleTip_rot_qy,MiddleTip_rot_qz,MiddleTip_rot_qw,MiddleTip_confidence,RingMetacarpal_pos_x,RingMetacarpal_pos_y,RingMetacarpal_pos_z,RingMetacarpal_rot_qx,RingMetacarpal_rot_qy,RingMetacarpal_rot_qz,RingMetacarpal_rot_qw,RingMetacarpal_confidence,RingProximal_pos_x,RingProximal_pos_y,RingProximal_pos_z,RingProximal_rot_qx,RingProximal_rot_qy,RingProximal_rot_qz,RingProximal_rot_qw,RingProximal_confidence,RingIntermediate_pos_x,RingIntermediate_pos_y,RingIntermediate_pos_z,RingIntermediate_rot_qx,RingIntermediate_rot_qy,RingIntermediate_rot_qz,RingIntermediate_rot_qw,RingIntermediate_confidence,RingDistal_pos_x,RingDistal_pos_y,RingDistal_pos_z,RingDistal_rot_qx,RingDistal_rot_qy,RingDistal_rot_qz,RingDistal_rot_qw,RingDistal_confidence,RingTip_pos_x,RingTip_pos_y,RingTip_pos_z,RingTip_rot_qx,RingTip_rot_qy,RingTip_rot_qz,RingTip_rot_qw,RingTip_confidence,LittleMetacarpal_pos_x,LittleMetacarpal_pos_y,LittleMetacarpal_pos_z,LittleMetacarpal_rot_qx,LittleMetacarpal_rot_qy,LittleMetacarpal_rot_qz,LittleMetacarpal_rot_qw,LittleMetacarpal_confidence,LittleProximal_pos_x,LittleProximal_pos_y,LittleProximal_pos_z,LittleProximal_rot_qx,LittleProximal_rot_qy,LittleProximal_rot_qz,LittleProximal_rot_qw,LittleProximal_confidence,LittleIntermediate_pos_x,LittleIntermediate_pos_y,LittleIntermediate_pos_z,LittleIntermediate_rot_qx,LittleIntermediate_rot_qy,LittleIntermediate_rot_qz,LittleIntermediate_rot_qw,LittleIntermediate_confidence,LittleDistal_pos_x,LittleDistal_pos_y,LittleDistal_pos_z,LittleDistal_rot_qx,LittleDistal_rot_qy,LittleDistal_rot_qz,LittleDistal_rot_qw,LittleDistal_confidence,LittleTip_pos_x,LittleTip_pos_y,LittleTip_pos_z,LittleTip_rot_qx,LittleTip_rot_qy,LittleTip_rot_qz,LittleTip_rot_qw,LittleTip_confidence
60252424500,-0.632234,-0.376637,-0.455164,-0.241895,0.683322,-0.461480,-0.511463,2,-0.605411,-0.315478,-0.454595,-0.241895,0.683322,-0.461480,-0.511463,2,-0.611687,-0.357606,-0.427139,-0.557515,0.192753,0.031454,-0.806867,2,-0.623042,-0.386723,-0.417165,-0.668831,0.284332,-0.038599,-0.685807,2,-0.634579,-0.418751,-0.419086,-0.634940,0.183394,-0.004505,-0.750465,2,-0.642146,-0.442084,-0.415154,-0.634940,0.183394,-0.004505,-0.750465,2,-0.618289,-0.353556,-0.436904,-0.241895,0.683322,-0.461480,-0.511463,2,-0.654114,-0.400545,-0.434780,-0.444952,0.474993,-0.653354,-0.386690,2,-0.645921,-0.437466,-0.428932,-0.523331,0.281928,-0.771198,-0.227801,2,-0.629277,-0.453977,-0.421741,-0.550802,0.247642,-0.777667,-0.174716,2,-0.612363,-0.467855,-0.416116,-0.550802,0.247642,-0.777667,-0.174716,2,-0.614579,-0.352125,-0.453410,-0.241895,0.683322,-0.461480,-0.511463,2,-0.649889,-0.401150,-0.456917,-0.455639,0.425077,-0.730266,-0.280026,2,-0.631376,-0.439093,-0.447240,-0.501793,0.261526,-0.808032,-0.163990,2,-0.611219,-0.455416,-0.437244,-0.497993,0.204592,-0.839757,-0.070383,2,-0.591092,-0.466851,-0.427240,-0.497993,0.204592,-0.839757,-0.070383,2,-0.611789,-0.351205,-0.468006,-0.241895,0.683322,-0.461480,-0.511463,2,-0.636356,-0.399567,-0.472876,-0.422382,0.460212,-0.745318,-0.233025,2,-0.620022,-0.434305,-0.464236,-0.442215,0.298426,-0.839003,-0.107057,2,-0.601839,-0.450270,-0.452686,-0.424144,0.186528,-0.884904,-0.047486,2,-0.584077,-0.460845,-0.439350,-0.424144,0.186528,-0.884904,-0.047486,2,-0.605788,-0.353295,-0.474103,-0.166824,0.774894,-0.531188,-0.299246,2,-0.618988,-0.395813,-0.485920,-0.339573,0.583541,-0.713115,-0.188780,2,-0.610805,-0.425585,-0.483182,-0.362596,0.420741,-0.830540,-0.041287,2,-0.599173,-0.440521,-0.475332,-0.324515,0.292889,-0.899340,-0.009651,2,-0.586838,-0.453372,-0.462159,-0.324515,0.292889,-0.899340,-0.009651,2
60295691700,-0.593646,-0.311790,-0.389230,-0.169158,0.695891,-0.420462,-0.557076,2,-0.555691,-0.257817,-0.391140,-0.169158,0.695891,-0.420462,-0.557076,2,-0.571895,-0.293762,-0.360263,-0.457432,0.238681,0.059085,-0.854574,2,-0.586936,-0.318298,-0.345040,-0.572934,0.328575,-0.028604,-0.750312,2,-0.602512,-0.348027,-0.340724,-0.659407,0.237826,-0.027792,-0.712636,2,-0.610914,-0.371178,-0.339598,-0.659407,0.237826,-0.027792,-0.712636,2,-0.576452,-0.290428,-0.371288,-0.169158,0.695891,-0.420462,-0.557076,2,-0.618985,-0.331007,-0.369070,-0.421968,0.470120,-0.649142,-0.423729,2,-0.613310,-0.367768,-0.361404,-0.504229,0.298976,-0.758774,-0.283951,2,-0.598820,-0.385778,-0.353793,-0.535206,0.264668,-0.768365,-0.230481,2,-0.583694,-0.401206,-0.347810,-0.535206,0.264668,-0.768365,-0.230481,2,-0.572204,-0.290567,-0.387450,-0.169158,0.695891,-0.420462,-0.557076,2,-0.615089,-0.333013,-0.391011,-0.419380,0.431396,-0.717668,-0.350671,2,-0.602219,-0.372272,-0.379145,-0.488319,0.247538,-0.805371,-0.227258,2,-0.583625,-0.389394,-0.368096,-0.497195,0.147761,-0.848607,-0.104066,2,-0.563517,-0.399324,-0.356986,-0.497195,0.147761,-0.848607,-0.104066,2,-0.568661,-0.291806,-0.403422,-0.169158,0.695891,-0.420462,-0.557076,2,-0.601682,-0.334456,-0.406881,-0.375457,0.461680,-0.730285,-0.335511,2,-0.592365,-0.370625,-0.395488,-0.433847,0.238732,-0.848966,-0.184499,2,-0.575108,-0.385671,-0.381928,-0.437647,0.010853,-0.897224,-0.057771,2,-0.556033,-0.389001,-0.367060,-0.437647,0.010853,-0.897224,-0.057771,2,-0.563234,-0.295138,-0.409408,-0.088887,0.779155,-0.511362,-0.351461,2,-0.584116,-0.334420,-0.419918,-0.273677,0.530747,-0.729142,-0.334307,2,-0.582755,-0.363858,-0.411095,-0.354549,0.276730,-0.879078,-0.157915,2,-0.571854,-0.376031,-0.398985,-0.339690,0.056075,-0.934976,-0.085359,2,-0.558548,-0.380768,-0.382135,-0.339690,0.056075,-0.934976,-0.085359,2
60339172200,-0.573654,-0.272654,-0.349223,-0.159409,0.691082,-0.415219,-0.569726,2,-0.534361,-0.219651,-0.352185,-0.159409,0.691082,-0.415219,-0.569726,2,-0.550330,-0.255830,-0.321349,-0.475860,0.198385,0.068154,-0.854141,2,-0.563463,-0.281391,-0.306113,-0.597149,0.291908,-0.012784,-0.747020,2,-0.577691,-0.311805,-0.302178,-0.656072,0.199323,-0.001107,-0.727900,2,-0.585681,-0.334995,-0.299924,-0.656072,0.199323,-0.001107,-0.727900,2,-0.555326,-0.251946,-0.331974,-0.159409,0.691082,-0.415219,-0.569726,2,-0.599265,-0.290678,-0.328219,-0.421409,0.482411,-0.643727,-0.418700,2,-0.594007,-0.327634,-0.321413,-0.503038,0.309605,-0.757636,-0.277642,2,-0.579654,-0.345832,-0.314065,-0.534660,0.270878,-0.769316,-0.221172,2,-0.564478,-0.361237,-0.308230,-0.534660,0.270878,-0.769316,-0.221172,2,-0.551511,-0.252260,-0.348272,-0.159409,0.691082,-0.415219,-0.569726,2,-0.595797,-0.293048,-0.350174,-0.417491,0.429066,-0.712186,-0.366601,2,-0.583770,-0.332439,-0.338011,-0.499188,0.216472,-0.808400,-0.224590,2,-0.564205,-0.348265,-0.326769,-0.510712,0.103767,-0.848776,-0.089354,2,-0.543166,-0.356053,-0.315730,-0.510712,0.103767,-0.848776,-0.089354,2,-0.548479,-0.253365,-0.363830,-0.159409,0.691082,-0.415219,-0.569726,2,-0.582715,-0.295056,-0.366228,-0.372068,0.445576,-0.724611,-0.371439,2,-0.574593,-0.331031,-0.353508,-0.444722,0.213338,-0.843247,-0.213643,2,-0.557077,-0.345647,-0.339859,-0.453199,0.016364,-0.885595,-0.100324,2,-0.537785,-0.350183,-0.325641,-0.453199,0.016364,-0.885595,-0.100324,2,-0.543254,-0.256918,-0.369857,-0.079942,0.774353,-0.510186,-0.365646,2,-0.565392,-0.295672,-0.379538,-0.282129,0.494306,-0.746616,-0.344426,2,-0.562909,-0.324330,-0.368716,-0.368580,0.238666,-0.883170,-0.164915,2,-0.551279,-0.335366,-0.356232,-0.356378,-0.000813,-0.930997,-0.078984,2,-0.537083,-0.337733,-0.339637,-0.356378,-0.000813,-0.930997,-0.078984,2
60382919800,-0.561353,-0.201590,-0.304652,-0.241418,0.717355,-0.301794,-0.579690,2,-0.520085,-0.150751,-0.297399,-0.241418,0.717355,-0.301794,-0.579690,2,-0.535737,-0.192419,-0.274690,-0.550701,0.179118,0.126696,-0.805353,2,-0.549650,-0.219775,-0.263987,-0.659624,0.286900,0.056232,-0.692404,2,-0.565578,-0.249544,-0.265163,-0.723945,0.196980,0.057783,-0.658608,2,-0.574842,-0.272242,-0.267371,-0.723945,0.196980,0.057783,-0.658608,2,-0.541054,-0.186277,-0.284016,-0.241418,0.717355,-0.301794,-0.579690,2,-0.585800,-0.224211,-0.287256,-0.492980,0.543253,-0.546270,-0.404272,2,-0.582032,-0.261829,-0.290149,-0.567478,0.393549,-0.680121,-0.246017,2,-0.567982,-0.281619,-0.289027,-0.600979,0.329906,-0.710292,-0.159597,2,-0.551821,-0.297085,-0.288254,-0.600979,0.329906,-0.710292,-0.159597,2,-0.538435,-0.182488,-0.300042,-0.241418,0.717355,-0.301794,-0.579690,2,-0.584271,-0.220692,-0.309261,-0.486759,0.511298,-0.622652,-0.337557,2,-0.573071,-0.262119,-0.309120,-0.559200,0.309040,-0.750497,-0.168951,2,-0.552830,-0.280099,-0.304064,-0.555205,0.203712,-0.806012,-0.024376,2,-0.530924,-0.289954,-0.297186,-0.555205,0.203712,-0.806012,-0.024376,2,-0.536578,-0.179805,-0.316195,-0.241418,0.717355,-0.301794,-0.579690,2,-0.572673,-0.218600,-0.326390,-0.442103,0.535235,-0.634686,-0.339474,2,-0.564962,-0.256788,-0.324981,-0.499837,0.323226,-0.787047,-0.162003,2,-0.546843,-0.274607,-0.317240,-0.495486,0.126729,-0.858664,-0.033622,2,-0.526521,-0.282245,-0.306161,-0.495486,0.126729,-0.858664,-0.033622,2,-0.532035,-0.181719,-0.323395,-0.138154,0.820240,-0.391421,-0.393585,2,-0.556567,-0.215987,-0.340907,-0.344581,0.608031,-0.639921,-0.319473,2,-0.554954,-0.246648,-0.340196,-0.404705,0.410368,-0.805366,-0.138557,2,-0.544027,-0.262347,-0.333381,-0.388856,0.180447,-0.902086,-0.049715,2,-0.529495,-0.271472,-0.319692,-0.388856,0.180447,-0.902086,-0.049715,2
60426177200,-0.472796,-0.114582,-0.255857,-0.015454,0.758323,0.032592,-0.650880,2,-0.407938,-0.110969,-0.247892,-0.015454,0.758323,0.032592,-0.650880,2,-0.447820,-0.130221,-0.226382,-0.448280,0.310264,0.456878,-0.702882,2,-0.475290,-0.141480,-0.213210,-0.559670,0.482082,0.327813,-0.588987,2,-0.506847,-0.153066,-0.216291,-0.758730,0.500733,0.183435,-0.374095,2,-0.523815,-0.162122,-0.231621,-0.758730,0.500733,0.183435,-0.374095,2,-0.447575,-0.121801,-0.235487,-0.015454,0.758323,0.032592,-0.650880,2,-0.506418,-0.116997,-0.239641,-0.390829,0.676214,-0.374219,-0.499948,2,-0.520953,-0.150978,-0.247977,-0.526923,0.502875,-0.607987,-0.315944,2,-0.513112,-0.173907,-0.249459,-0.569582,0.434560,-0.661593,-0.221426,2,-0.501306,-0.192865,-0.250662,-0.569582,0.434560,-0.661593,-0.221426,2,-0.442929,-0.118349,-0.250959,-0.015454,0.758323,0.032592,-0.650880,2,-0.502663,-0.110816,-0.260756,-0.361588,0.663931,-0.435363,-0.488783,2,-0.516994,-0.150763,-0.266892,-0.497769,0.481200,-0.641146,-0.331065,2,-0.508197,-0.176815,-0.265755,-0.514336,0.385279,-0.739445,-0.200596,2,-0.493749,-0.196847,-0.262110,-0.514336,0.385279,-0.739445,-0.200596,2,-0.440100,-0.114958,-0.268310,-0.015454,0.758323,0.032592,-0.650880,2,-0.492957,-0.113728,-0.278892,-0.307053,0.675123,-0.440572,-0.505791,2,-0.509022,-0.149001,-0.282794,-0.430313,0.491135,-0.667397,-0.358048,2,-0.503111,-0.174583,-0.278885,-0.477133,0.308530,-0.785505,-0.245227,2,-0.489555,-0.193179,-0.270910,-0.477133,0.308530,-0.785505,-0.245227,2,-0.438254,-0.117844,-0.276328,0.134696,0.829231,-0.114922,-0.530118,2,-0.479759,-0.120023,-0.295093,-0.146545,0.736644,-0.395073,-0.528959,2,-0.500121,-0.142643,-0.299028,-0.275828,0.585542,-0.647079,-0.402924,2,-0.502453,-0.162528,-0.295739,-0.359795,0.330984,-0.810398,-0.322881,2,-0.495419,-0.179989,-0.284481,-0.359795,0.330984,-0.810398,-0.322881,2
60476854200,-0.350011,-0.050739,-0.218273,0.084059,0.729681,0.210754,-0.645044,2,-0.288773,-0.072751,-0.214669,0.084059,0.729681,0.210754,-0.645044,2,-0.331235,-0.077558,-0.191424,-0.351218,0.356802,0.630690,-0.592932,2,-0.359356,-0.076468,-0.175234,-0.409187,0.542329,0.504265,-0.533069,2,-0.392793,-0.072732,-0.172639,-0.581186,0.591509,0.385538,-0.404599,2,-0.415938,-0.072384,-0.180926,-0.581186,0.591509,0.385538,-0.404599,2,-0.328672,-0.069191,-0.200258,0.084059,0.729681,0.210754,-0.645044,2,-0.382111,-0.042935,-0.200726,-0.343474,0.723061,-0.228637,-0.554016,2,-0.406506,-0.069871,-0.211390,-0.507694,0.590115,-0.500048,-0.379425,2,-0.405052,-0.093544,-0.216535,-0.551493,0.542850,-0.561698,-0.292686,2,-0.399197,-0.114538,-0.221519,-0.551493,0.542850,-0.561698,-0.292686,2,-0.323458,-0.065926,-0.215510,0.084059,0.729681,0.210754,-0.645044,2,-0.376565,-0.035553,-0.221037,-0.298372,0.724115,-0.302808,-0.543083,2,-0.402533,-0.068243,-0.230756,-0.451672,0.587679,-0.531464,-0.410086,2,-0.402586,-0.095619,-0.233473,-0.475371,0.511594,-0.650428,-0.298727,2,-0.395669,-0.119598,-0.233578,-0.475371,0.511594,-0.650428,-0.298727,2,-0.320301,-0.061459,-0.233232,0.084059,0.729681,0.210754,-0.645044,2,-0.368900,-0.039152,-0.240000,-0.213307,0.742342,-0.276841,-0.571653,2,-0.397351,-0.064654,-0.247521,-0.361561,0.608239,-0.535755,-0.460744,2,-0.401943,-0.090789,-0.247557,-0.434656,0.456078,-0.681887,-0.371615,2,-0.397139,-0.114268,-0.243270,-0.434656,0.456078,-0.681887,-0.371615,2,-0.319778,-0.063607,-0.241663,0.250209,0.783345,0.045312,-0.567197,2,-0.359254,-0.047432,-0.257728,-0.045685,0.767549,-0.226200,-0.598009,2,-0.386781,-0.059761,-0.263325,-0.193095,0.670257,-0.499753,-0.513534,2,-0.396829,-0.077371,-0.262778,-0.265972,0.534484,-0.628574,-0.498478,2,-0.402369,-0.097718,-0.256772,-0.265972,0.534484,-0.628574,-0.498478,2
60520667900,-0.200334,0.017531,-0.192838,0.371051,0.610943,0.177594,-0.676410,2,-0.151974,-0.026252,-0.195247,0.371051,0.610943,0.177594,-0.676410,2,-0.182944,-0.006337,-0.163011,-0.095503,0.423222,0.702662,-0.563941,2,-0.202792,0.009469,-0.142775,-0.113464,0.570947,0.577989,-0.571904,2,-0.229245,0.027355,-0.131904,-0.139484,0.454369,0.672088,-0.567795,2,-0.245648,0.039113,-0.117879,-0.139484,0.454369,0.672088,-0.567795,2,-0.180890,-0.002480,-0.174626,0.371051,0.610943,0.177594,-0.676410,2,-0.219131,0.042819,-0.172733,0.042682,0.610376,0.005673,-0.790941,2,-0.255666,0.045638,-0.163222,-0.302069,0.542320,-0.289269,-0.728675,2,-0.270600,0.027347,-0.157660,-0.480812,0.466465,-0.428674,-0.606192,2,-0.275071,0.005560,-0.155474,-0.480812,0.466465,-0.428674,-0.606192,2,-0.180936,-0.006016,-0.190715,0.371051,0.610943,0.177594,-0.676410,2,-0.219732,0.041078,-0.194960,0.044341,0.640284,-0.149468,-0.752150,2,-0.261571,0.035734,-0.187413,-0.195306,0.556252,-0.359691,-0.723231,2,-0.279833,0.016961,-0.179029,-0.283126,0.489820,-0.496218,-0.658547,2,-0.289973,-0.004167,-0.170476,-0.283126,0.489820,-0.496218,-0.658547,2,-0.183103,-0.008457,-0.208636,0.371051,0.610943,0.177594,-0.676410,2,-0.221318,0.029373,-0.212032,0.114567,0.634457,-0.158279,-0.747855,2,-0.259668,0.028225,-0.205466,-0.107110,0.537995,-0.383801,-0.742823,2,-0.278688,0.013050,-0.194904,-0.245177,0.422047,-0.504434,-0.712259,2,-0.288801,-0.005306,-0.182533,-0.245177,0.422047,-0.504434,-0.712259,2,-0.186495,-0.012912,-0.215311,0.498217,0.612779,-0.031385,-0.612614,2,-0.222132,0.013152,-0.226583,0.290986,0.631034,-0.123784,-0.708379,2,-0.251756,0.021003,-0.225533,0.093361,0.561382,-0.366477,-0.736090,2,-0.269899,0.015448,-0.218391,0.012719,0.471895,-0.431335,-0.768833,2,-0.286763,0.007895,-0.206604,0.012719,0.471895,-0.431335,-0.768833,2
60563837400,-0.203038,0.014717,-0.214276,0.606111,0.458217,0.161666,-0.629708,2,-0.175414,-0.044283,-0.209293,0.606111,0.458217,0.161666,-0.629708,2,-0.187406,-0.005730,-0.181377,0.049093,0.410246,0.748134,-0.519214,2,-0.198845,0.015842,-0.160007,0.028525,0.560476,0.612807,-0.556346,2,-0.218699,0.040079,-0.147525,-0.055609,0.527530,0.656089,-0.536812,2,-0.233448,0.056249,-0.136354,-0.055609,0.527530,0.656089,-0.536812,2,-0.187340,-0.006199,-0.193766,0.606111,0.458217,0.161666,-0.629708,2,-0.205063,0.049756,-0.201449,0.239704,0.492162,0.014951,-0.836717,2,-0.235966,0.065497,-0.186284,-0.275255,0.397112,-0.289702,-0.826202,2,-0.248014,0.048884,-0.173354,-0.509980,0.312517,-0.404386,-0.691900,2,-0.249500,0.027578,-0.166791,-0.509980,0.312517,-0.404386,-0.691900,2,-0.193266,-0.013356,-0.207388,0.606111,0.458217,0.161666,-0.629708,2,-0.212810,0.042789,-0.221163,0.234617,0.471506,-0.067754,-0.847376,2,-0.248406,0.057086,-0.202087,-0.213107,0.370232,-0.304447,-0.851367,2,-0.262171,0.040911,-0.184628,-0.460782,0.244994,-0.479165,-0.705733,2,-0.260938,0.018851,-0.173054,-0.460782,0.244994,-0.479165,-0.705733,2,-0.201095,-0.019192,-0.222534,0.606111,0.458217,0.161666,-0.629708,2,-0.223294,0.028878,-0.232449,0.306691,0.462556,-0.125123,-0.822391,2,-0.255890,0.044005,-0.217506,-0.132890,0.309659,-0.372461,-0.864711,2,-0.267467,0.031793,-0.197008,-0.402086,0.141671,-0.476844,-0.768685,2,-0.264935,0.013702,-0.180935,-0.402086,0.141671,-0.476844,-0.768685,2,-0.207624,-0.023366,-0.226512,0.692765,0.409421,-0.067327,-0.589845,2,-0.233878,0.011357,-0.239955,0.463474,0.433680,-0.139319,-0.760069,2,-0.258049,0.029253,-0.234000,0.009933,0.261857,-0.418648,-0.869520,2,-0.267448,0.025158,-0.216513,-0.290373,0.050694,-0.482824,-0.824618,2,-0.264015,0.014242,-0.197826,-0.290373,0.050694,-0.482824,-0.824618,2
60606890000,-0.197473,0.014853,-0.231786,0.787547,0.190208,0.248685,-0.530798,2,-0.208305,-0.047984,-0.216651,0.787547,0.190208,0.248685,-0.530798,2,-0.190615,-0.006106,-0.197049,0.307768,0.435467,0.798931,-0.278131,2,-0.182519,0.022023,-0.183057,0.327853,0.563610,0.661013,-0.371374,2,-0.182019,0.055359,-0.178009,0.212644,0.623073,0.653338,-0.373781,2,-0.185437,0.079444,-0.174568,0.212644,0.623073,0.653338,-0.373781,2,-0.192869,-0.008517,-0.208970,0.787547,0.190208,0.248685,-0.530798,2,-0.175348,0.044658,-0.227252,0.442390,0.312970,0.186680,-0.819446,2,-0.188509,0.076520,-0.211634,-0.105220,0.345175,-0.043710,-0.931597,2,-0.203883,0.071034,-0.193699,-0.343986,0.342123,-0.147673,-0.861869,2,-0.215490,0.056278,-0.181589,-0.343986,0.342123,-0.147673,-0.861869,2,-0.204707,-0.012118,-0.219969,0.787547,0.190208,0.248685,-0.530798,2,-0.190238,0.041824,-0.243603,0.341425,0.291066,0.114935,-0.886284,2,-0.208977,0.070613,-0.218012,-0.171630,0.301645,-0.065856,-0.935530,2,-0.223871,0.060693,-0.197144,-0.471853,0.255701,-0.243224,-0.807969,2,-0.229397,0.039049,-0.186057,-0.471853,0.255701,-0.243224,-0.807969,2,-0.217130,-0.014036,-0.231936,0.787547,0.190208,0.248685,-0.530798,2,-0.209193,0.036134,-0.249851,0.301221,0.254771,0.039515,-0.918039,2,-0.226469,0.058438,-0.223052,-0.307108,0.197178,-0.156102,-0.917844,2,-0.233524,0.041857,-0.203599,-0.681296,0.086379,-0.260626,-0.678564,2,-0.228724,0.018157,-0.200932,-0.681296,0.086379,-0.260626,-0.678564,2,-0.225601,-0.013736,-0.233941,0.826940,0.100126,0.016834,-0.553048,2,-0.229375,0.028084,-0.251600,0.423413,0.164011,-0.013646,-0.890863,2,-0.238687,0.051073,-0.233587,-0.211662,0.091001,-0.192142,-0.953939,2,-0.240558,0.042179,-0.215471,-0.646251,-0.056597,-0.218586,-0.728956,2,-0.232649,0.022290,-0.210785,-0.646251,-0.056597,-0.218586,-0.728956,2
60650299600,-0.178716,0.035929,-0.255613,0.865600,-0.072131,0.266071,-0.418019,2,-0.213933,-0.011505,-0.227452,0.865600,-0.072131,0.266071,-0.418019,2,-0.173393,0.015602,-0.219950,0.549056,0.335218,0.761201,-0.082095,2,-0.148063,0.035082,-0.214360,0.565318,0.486443,0.607471,-0.273436,2,-0.133875,0.065432,-0.218150,0.413981,0.658415,0.497404,-0.384316,2,-0.134995,0.089367,-0.223566,0.413981,0.658415,0.497404,-0.384316,2,-0.179842,0.014478,-0.230456,0.865600,-0.072131,0.266071,-0.418019,2,-0.144826,0.050643,-0.261228,0.546183,0.110319,0.296779,-0.775523,2,-0.139033,0.085179,-0.246885,0.007443,0.239564,0.167130,-0.956359,2,-0.150084,0.087466,-0.225422,-0.235165,0.294617,0.082084,-0.922584,2,-0.163301,0.079845,-0.209106,-0.235165,0.294617,0.082084,-0.922584,2,-0.194425,0.016940,-0.237829,0.865600,-0.072131,0.266071,-0.418019,2,-0.163008,0.054919,-0.273397,0.464970,0.088309,0.257482,-0.842442,2,-0.159126,0.090420,-0.249754,-0.049837,0.203105,0.162056,-0.964367,2,-0.170337,0.089588,-0.224671,-0.373204,0.235944,0.006275,-0.897224,2,-0.181461,0.073857,-0.208840,-0.373204,0.235944,0.006275,-0.897224,2,-0.209129,0.021310,-0.246524,0.865600,-0.072131,0.266071,-0.418019,2,-0.183247,0.059361,-0.274500,0.483494,0.036351,0.217902,-0.847013,2,-0.177445,0.091845,-0.253886,-0.073870,0.117697,0.132668,-0.981371,2,-0.184090,0.088829,-0.228397,-0.481265,0.136312,0.045009,-0.864741,2,-0.191195,0.069833,-0.214965,-0.481265,0.136312,0.045009,-0.864741,2,-0.216599,0.025779,-0.246778,0.852690,-0.185498,0.050863,-0.485719,2,-0.204438,0.062647,-0.270597,0.517474,-0.066661,0.177813,-0.834361,2,-0.195388,0.088388,-0.256634,-0.058178,0.015296,0.108424,-0.992283,2,-0.196259,0.086116,-0.236515,-0.543797,0.024440,0.086571,-0.834382,2,-0.198826,0.066795,-0.226512,-0.543797,0.024440,0.086571,-0.834382,2
