timestamp_ns,head_pos_x,head_pos_y,head_pos_z,head_rot_qx,head_rot_qy,head_rot_qz,head_rot_qw
84280358700,0.087414,0.087305,-0.019146,-0.061989,0.014022,0.037208,-0.997285
84322887600,0.086631,0.087166,-0.019032,-0.062219,0.014253,0.036738,-0.997284
84365841500,0.085873,0.087044,-0.018998,-0.062742,0.014681,0.036110,-0.997268
84408867000,0.085232,0.087369,-0.018933,-0.061220,0.014911,0.035678,-0.997375
84455172400,0.084469,0.087616,-0.019159,-0.060526,0.015617,0.034604,-0.997444
84498840200,0.083945,0.087623,-0.019189,-0.059829,0.016314,0.034373,-0.997483
84541173600,0.083575,0.087854,-0.019376,-0.058959,0.016728,0.034153,-0.997536
84582743900,0.083310,0.088124,-0.019561,-0.058270,0.016828,0.034001,-0.997580
84625832200,0.083081,0.088203,-0.019825,-0.057960,0.017157,0.033305,-0.997616
84639430100,0.082793,0.088061,-0.020093,-0.058523,0.018357,0.032795,-0.997578
84652411100,0.082671,0.088001,-0.020237,-0.058840,0.018777,0.032787,-0.997552
84665357300,0.082539,0.087926,-0.020410,-0.059174,0.019235,0.032965,-0.997518
84677379500,0.082402,0.087842,-0.020598,-0.059580,0.019744,0.033171,-0.997477
84695040100,0.082249,0.087780,-0.020813,-0.060118,0.020322,0.033289,-0.997429
84709169900,0.082088,0.087723,-0.021026,-0.060364,0.020853,0.033148,-0.997408
84720627800,0.081955,0.087643,-0.021250,-0.060701,0.021761,0.032969,-0.997374
84736159900,0.081766,0.087527,-0.021525,-0.061227,0.022881,0.032893,-0.997319
84749861500,0.081556,0.087398,-0.021803,-0.061835,0.024293,0.032934,-0.997247
84763839900,0.081262,0.087250,-0.022116,-0.062647,0.025865,0.032996,-0.997155
84778462400,0.080962,0.087068,-0.022443,-0.063720,0.027527,0.033244,-0.997034
84791599500,0.080651,0.086890,-0.022783,-0.064825,0.029255,0.033544,-0.996904
84805407000,0.080346,0.086733,-0.023091,-0.065848,0.030966,0.033759,-0.996778
84820560400,0.080043,0.086620,-0.023389,-0.066750,0.032370,0.034103,-0.996661
84833255800,0.079802,0.086482,-0.023639,-0.067388,0.033836,0.034356,-0.996561
84847293900,0.079596,0.086313,-0.023827,-0.067980,0.035059,0.034438,-0.996476
84861359800,0.079448,0.086145,-0.023927,-0.068640,0.036019,0.034583,-0.996391
84883892400,0.079322,0.086062,-0.023988,-0.069148,0.036613,0.034568,-0.996335
84906674400,0.079163,0.086026,-0.024206,-0.068754,0.036681,0.034423,-0.996365
84918067000,0.079225,0.086086,-0.024235,-0.068517,0.036053,0.034206,-0.996411
84929523000,0.079296,0.086107,-0.024283,-0.068413,0.035308,0.033883,-0.996456
84945128000,0.079430,0.086101,-0.024343,-0.068560,0.034343,0.033655,-0.996488
84958295800,0.079575,0.086090,-0.024401,-0.068625,0.033407,0.033307,-0.996527
84972028500,0.079695,0.086092,-0.024423,-0.068473,0.032512,0.032981,-0.996577
84986240200,0.079805,0.086131,-0.024408,-0.068112,0.031664,0.032703,-0.996639
85000441200,0.079923,0.086206,-0.024375,-0.067665,0.030717,0.032779,-0.996696
85013872200,0.080070,0.086298,-0.024334,-0.067168,0.029884,0.032921,-0.996751
85028010200,0.080213,0.086376,-0.024306,-0.066902,0.029000,0.032994,-0.996792
85041658000,0.080374,0.086425,-0.024301,-0.066769,0.028290,0.033108,-0.996818
85055766300,0.080532,0.086478,-0.024299,-0.066562,0.027517,0.033151,-0.996852
85070451600,0.080704,0.086548,-0.024279,-0.066187,0.026760,0.033086,-0.996900
85084212100,0.080898,0.086623,-0.024169,-0.065645,0.025938,0.032775,-0.996967
85095898900,0.081101,0.086707,-0.024055,-0.065284,0.025230,0.032648,-0.997013
85111399800,0.081298,0.086767,-0.023911,-0.064887,0.024651,0.032376,-0.997063
85124916000,0.081469,0.086809,-0.023860,-0.064720,0.024053,0.032065,-0.997098
85139180900,0.081637,0.086825,-0.023811,-0.064618,0.023593,0.031789,-0.997125
85152778400,0.081790,0.086832,-0.023758,-0.064439,0.023095,0.031574,-0.997155
85167036200,0.081940,0.086851,-0.023678,-0.064500,0.022752,0.031410,-0.997164
85181373600,0.082080,0.086856,-0.023583,-0.064495,0.022547,0.031333,-0.997171
85195191000,0.082208,0.086829,-0.023484,-0.064607,0.022301,0.031402,-0.997167
85208635900,0.082339,0.086790,-0.023382,-0.064989,0.022097,0.031358,-0.997148
85222619700,0.082488,0.086746,-0.023279,-0.065336,0.022196,0.031473,-0.997120
85238332600,0.082610,0.086687,-0.023192,-0.065625,0.022177,0.031651,-0.997096
85251174700,0.082696,0.086611,-0.023126,-0.066051,0.022189,0.031908,-0.997059
85264109100,0.082781,0.086526,-0.023063,-0.066475,0.022268,0.032007,-0.997026
85278739000,0.082866,0.086442,-0.022996,-0.066737,0.022433,0.032112,-0.997001
85292086800,0.082939,0.086354,-0.022917,-0.067065,0.022617,0.032080,-0.996976
85306202400,0.083002,0.086263,-0.022848,-0.067531,0.022802,0.032197,-0.996937
85320710800,0.083046,0.086148,-0.022802,-0.068139,0.023131,0.032338,-0.996883
85333015900,0.083063,0.085982,-0.022772,-0.068842,0.023574,0.032479,-0.996820
85347843000,0.083062,0.085785,-0.022759,-0.069647,0.024171,0.032688,-0.996743
85361198500,0.083031,0.085581,-0.022774,-0.070495,0.024884,0.032864,-0.996660
85374547300,0.082974,0.085398,-0.022831,-0.071368,0.026004,0.032975,-0.996566
85389308900,0.082877,0.085203,-0.022914,-0.072351,0.027238,0.033220,-0.996454
85403227300,0.082736,0.084996,-0.023012,-0.073574,0.028601,0.033447,-0.996318
85417349200,0.082574,0.084772,-0.023120,-0.074720,0.030180,0.033898,-0.996171
85431030300,0.082375,0.084553,-0.023235,-0.075807,0.031691,0.034327,-0.996027
85444439000,0.082208,0.084380,-0.023332,-0.076753,0.033081,0.034737,-0.995896
85458566800,0.082024,0.084292,-0.023403,-0.077224,0.034421,0.035074,-0.995802
85472646600,0.081864,0.084241,-0.023453,-0.077653,0.035574,0.035189,-0.995724
85486618800,0.081763,0.084212,-0.023483,-0.077795,0.036307,0.035457,-0.995677
85500619800,0.081687,0.084191,-0.023489,-0.077930,0.036825,0.035620,-0.995642
85513491100,0.081656,0.084164,-0.023499,-0.078171,0.037040,0.035559,-0.995617
85528028800,0.081663,0.084137,-0.023508,-0.078298,0.037017,0.035344,-0.995615
85542056600,0.081685,0.084120,-0.023511,-0.078399,0.036891,0.035104,-0.995621
85555294300,0.081747,0.084104,-0.023512,-0.078426,0.036541,0.034854,-0.995640
85569193000,0.081808,0.084062,-0.023493,-0.078497,0.036108,0.034588,-0.995660
85583770800,0.081869,0.084012,-0.023445,-0.078491,0.035585,0.034402,-0.995685
85627285500,0.081927,0.083978,-0.023399,-0.078459,0.035055,0.034159,-0.995715
85671639900,0.082186,0.083961,-0.023474,-0.078372,0.033295,0.033781,-0.995795
85713048300,0.082401,0.083977,-0.023524,-0.078039,0.031860,0.033110,-0.995891
85755038400,0.082665,0.084156,-0.023473,-0.077628,0.030987,0.033064,-0.995952
85798812200,0.082740,0.084181,-0.023449,-0.077529,0.030276,0.033211,-0.995977
85842974800,0.082874,0.084144,-0.023332,-0.077398,0.029598,0.033047,-0.996013
85885509300,0.082965,0.084143,-0.023219,-0.076974,0.029292,0.032522,-0.996072
85929187600,0.082926,0.084192,-0.023178,-0.076870,0.029358,0.032516,-0.996078
85973357700,0.082937,0.084296,-0.023066,-0.076400,0.029628,0.032392,-0.996110
86019795200,0.083002,0.084301,-0.023006,-0.076709,0.029856,0.032306,-0.996083
86063835700,0.083065,0.084210,-0.022976,-0.076867,0.030151,0.031920,-0.996074
86106940000,0.083046,0.084152,-0.022867,-0.076948,0.030232,0.032193,-0.996057
86150918400,0.083185,0.084252,-0.022924,-0.076302,0.030015,0.032501,-0.996103
86193948200,0.083290,0.084492,-0.022993,-0.075295,0.029625,0.032934,-0.996177
86235942400,0.083383,0.084706,-0.022971,-0.074137,0.029164,0.033141,-0.996270
86277683200,0.083445,0.084841,-0.022984,-0.073301,0.028774,0.033121,-0.996344
86320318600,0.083412,0.084929,-0.023086,-0.072942,0.028883,0.033032,-0.996371
86363797900,0.083342,0.085070,-0.023232,-0.072350,0.029361,0.032889,-0.996404
86408157900,0.083297,0.085151,-0.023363,-0.072097,0.029499,0.032887,-0.996419
86454090600,0.083341,0.085277,-0.023406,-0.071244,0.028934,0.032786,-0.996500
86497041200,0.083386,0.085257,-0.023475,-0.071575,0.028492,0.032412,-0.996501
86539910100,0.083346,0.085292,-0.023382,-0.071127,0.028237,0.032684,-0.996532
86585299200,0.083275,0.085247,-0.023413,-0.071309,0.028074,0.033157,-0.996508
86629965000,0.083211,0.085269,-0.023455,-0.071301,0.027860,0.032832,-0.996525
86674933500,0.083214,0.085384,-0.023600,-0.070826,0.027906,0.032691,-0.996562
86718526000,0.083158,0.085479,-0.023662,-0.070226,0.028150,0.032938,-0.996590
86764645900,0.083246,0.085555,-0.023724,-0.069866,0.028138,0.033036,-0.996612
86811090500,0.083312,0.085621,-0.023783,-0.069711,0.028038,0.033126,-0.996623
86854926200,0.083352,0.085576,-0.023942,-0.069941,0.028300,0.032919,-0.996606
86897510100,0.083338,0.085481,-0.024109,-0.070143,0.028648,0.033093,-0.996576
86940395000,0.083362,0.085550,-0.024215,-0.069645,0.028809,0.033326,-0.996599
86983877800,0.083526,0.085706,-0.024378,-0.069335,0.028789,0.033356,-0.996620
87025676900,0.083587,0.085758,-0.024477,-0.069207,0.028640,0.033510,-0.996628
